time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/std,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance,train/entropy_loss
15,1,17065,262144,,,,,,,,,,,,,
32,2,16114,524288,1.009729266166687,0.2,0.0003,-0.005093193799439177,0.010227650363958674,8,106.0,6.232722759246826,0.006539089,0.06537532806396484,-0.10377208143472672,-8.946670532226562,-9.982085593044758
50,3,15528,786432,1.0169322490692139,0.2,0.0003,-0.00299301608629321,0.0012596326778293587,16,149.0,3.2661918103694916,0.005196375,0.048111915588378906,-0.10390216112136841,-0.3537302017211914,-10.036563597619534
69,4,15138,1048576,1.022551417350769,0.2,0.0003,-0.0024554129208809172,0.0004336962745128403,24,250.0,0.0490715508320136,0.004301423,0.03405141830444336,-0.10330416262149811,-0.4925062656402588,-10.079398058354855
83,5,15688,1310720,1.0301932096481323,0.2,0.0003,-0.0015025146753941954,0.0002519244554832767,32,250.0,0.0490715508320136,0.0037599993,0.021839618682861328,-0.10406158119440079,-2.453618049621582,-10.12572893500328
99,6,15728,1572864,1.035923957824707,0.2,0.0003,-0.0017617138182686176,0.00013349227378967043,40,250.0,0.04911581883614417,0.0037808556,0.023912906646728516,-0.10406693816184998,-1.4332849979400635,-10.170660309493542
116,7,15690,1835008,1.0423475503921509,0.2,0.0003,-0.003258820746850688,0.0001568746902194107,48,250.0,0.04920550356095191,0.0048212,0.043363094329833984,-0.10464087128639221,-0.28482651710510254,-10.213090784847736
133,8,15700,2097152,1.0480575561523438,0.2,0.0003,-0.0030429083435592474,0.0001429828384971188,56,250.0,0.058506986892607526,0.0048159366,0.04077577590942383,-0.10555245727300644,-0.17372047901153564,-10.252337738871574
147,9,15964,2359296,1.0520682334899902,0.2,0.0003,-0.003617986462359113,0.00013348055523465518,64,250.0,0.058506986892607526,0.0047036055,0.041959285736083984,-0.10695241391658783,-1.038776159286499,-10.280140474438667
165,10,15798,2621440,1.0566065311431885,0.2,0.0003,-0.003907548318238696,0.00023603544264005905,72,234.01,0.19993829506012845,0.005825643,0.06139039993286133,-0.10771267861127853,0.04645431041717529,-10.309133566915989
186,11,15486,2883584,1.0684970617294312,0.2,0.0003,-0.0015491582780668978,0.0018326649005757645,80,182.44,0.5088015598489437,0.0049681542,0.04349946975708008,-0.10567108541727066,0.062331318855285645,-10.364458456635475
205,12,15336,3145728,1.0760095119476318,0.2,0.0003,-0.0022794428377892473,0.0005292520813782176,88,250.0,0.37687199501786384,0.0046815816,0.037418365478515625,-0.1082024872303009,-0.0838392972946167,-10.427931986749172
220,13,15426,3407872,1.0831278562545776,0.2,0.0003,-0.0017957107029360486,0.0005697403109934385,96,219.78,0.3460661540395813,0.0046503823,0.03570222854614258,-0.10781721770763397,-0.1526651382446289,-10.472837015986443
241,14,15182,3670016,1.0882740020751953,0.2,0.0003,-0.004706706966317142,0.00034148724262195174,104,148.2,0.40236762195825576,0.005991035,0.06085491180419922,-0.11053911596536636,0.03672868013381958,-10.511032193899155
261,15,15024,3932160,1.0984938144683838,0.2,0.0003,-0.0012743694378514192,0.002568298585174489,112,205.26,0.5245707021653652,0.004642874,0.0351567268371582,-0.10778959840536118,-0.06689834594726562,-10.563369028270245
280,16,14975,4194304,1.1075849533081055,0.2,0.0003,-0.0019612402252278116,0.0006480789647866914,120,209.43,0.4869636314362287,0.0056925816,0.0489201545715332,-0.1079455241560936,0.050278306007385254,-10.626675307750702
298,17,14925,4456448,1.114648461341858,0.2,0.0003,-0.002877188268030295,0.00038102663279460103,128,104.68,0.28530323825776577,0.00550333,0.054082393646240234,-0.10965199768543243,0.11769729852676392,-10.675385437905788
318,18,14813,4718592,1.1261035203933716,0.2,0.0003,-0.0018870921503548743,0.002670756108727801,136,204.45,0.6835567282885313,0.006080565,0.05322408676147461,-0.1085241511464119,0.016299903392791748,-10.735077656805515
338,19,14726,4980736,1.1413832902908325,0.2,0.0003,-0.0011789824006882554,0.004939818396451301,144,176.04,0.7552517796307803,0.0067119747,0.05652427673339844,-0.11003829538822174,0.024720191955566406,-10.81769398599863
357,20,14675,5242880,1.1553287506103516,0.2,0.0003,-0.0017795403855416225,0.00328213787634013,152,150.84,0.6089938287436962,0.00758112,0.07548666000366211,-0.11093775182962418,0.09612590074539185,-10.909018099308014
377,21,14585,5505024,1.1644668579101562,0.2,0.0003,-0.0028960798167645407,0.0007726719686615979,160,161.81,0.6177392992377281,0.0060006683,0.06180858612060547,-0.11239442974328995,0.05254638195037842,-10.976649798452854
397,22,14512,5767168,1.177021861076355,0.2,0.0003,-0.0011580968198359187,0.006541196064063115,168,181.95,0.8074049437046051,0.0059906794,0.058237552642822266,-0.11093363910913467,0.11134916543960571,-11.036345675587654
417,23,14441,6029312,1.1906365156173706,0.2,0.0003,-0.0014029078802195727,0.0036621267718146555,176,160.5,0.9103385101258755,0.0061293906,0.05719614028930664,-0.11299651861190796,0.40402287244796753,-11.116799890995026
437,24,14391,6291456,1.2030662298202515,0.2,0.0003,-0.0011966865058639087,0.005085484923256445,184,145.61,0.7511604060349054,0.0064046904,0.06581449508666992,-0.11410007625818253,0.21424204111099243,-11.195592857897282
457,25,14321,6553600,1.216383934020996,0.2,0.0003,-0.001090153776203806,0.004737357126941788,192,185.2,0.883270648419857,0.006399074,0.0690312385559082,-0.11358144134283066,0.22987008094787598,-11.269465051591396
478,26,14258,6815744,1.2292811870574951,0.2,0.0003,-0.0009762481126927014,0.007892454585089581,200,152.7,0.7456284215301275,0.007308059,0.0636897087097168,-0.11445595324039459,0.2549320459365845,-11.34336218982935
498,27,14191,7077888,1.2437777519226074,0.2,0.0003,-0.000989246338576777,0.007082095986334025,208,165.04,1.021426800787449,0.0065742685,0.06319856643676758,-0.11379783600568771,0.631872296333313,-11.422308288514614
519,28,14141,7340032,1.2550270557403564,0.2,0.0003,-0.0014479506808129372,0.0047800287084101,216,144.21,0.804122366309166,0.008292794,0.058508872985839844,-0.11613481491804123,0.6331051886081696,-11.489166356623173
539,29,14086,7602176,1.2623302936553955,0.2,0.0003,-0.0013258474855319946,0.0030051226740397396,224,169.19,1.031435313746333,0.005078573,0.05713653564453125,-0.1177661269903183,0.2105318307876587,-11.540756352245808
