time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/n_updates,train/clip_range,train/clip_fraction,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/policy_gradient_loss
16762,15,262144,1,,,,,,,,,,,,,
15883,33,524288,2,8,0.2,0.06537532806396484,1.009729266166687,0.010227650363958674,3.3069674968719482,106.0,-8.946670532226562,-0.10377208143472672,0.0003,0.006539089,-9.982085593044758,-0.005093193799439177
15358,51,786432,3,16,0.2,0.047197818756103516,1.0159389972686768,0.000903818008282542,3.3069674968719482,106.0,-0.497150182723999,-0.10411611199378967,0.0003,0.0051181708,-10.033082641661167,-0.0032824587060531485
15043,69,1048576,4,24,0.2,0.03408956527709961,1.0217417478561401,0.0004338605147040653,0.04833146655728342,250.0,-0.49320805072784424,-0.10342570394277573,0.0003,0.004309992,-10.07359054684639,-0.002447915458560601
15564,84,1310720,5,32,0.2,0.019455432891845703,1.0299134254455566,0.0002503215798697056,0.04842448483075714,245.73,-2.523022413253784,-0.10385727882385254,0.0003,0.0033407863,-10.12199617177248,-0.0013074375851829245
15621,100,1572864,6,40,0.2,0.025771617889404297,1.035391092300415,0.00013539613445345822,0.04852993631589925,245.73,-1.462212085723877,-0.10448745638132095,0.0003,0.003666657,-10.16428692638874,-0.0018830110975613934
15538,118,1835008,7,48,0.2,0.04119396209716797,1.0412240028381348,0.00016189217080864182,0.05042574967694236,244.72,-0.255168080329895,-0.10567129403352737,0.0003,0.0048276167,-10.205034419894218,-0.0029708722740906524
15500,135,2097152,8,56,0.2,0.036295413970947266,1.047736406326294,0.00015527699463291356,0.05687795266187095,250.0,-0.06261861324310303,-0.10541809350252151,0.0003,0.004609078,-10.247137635946274,-0.0027010879548470257
15747,149,2359296,9,64,0.2,0.04065990447998047,1.0524098873138428,0.0002903647638277107,0.055940200041786736,250.0,-0.2970525026321411,-0.10522628575563431,0.0003,0.004569887,-10.280280105769634,-0.0026018253429356264
15637,167,2621440,10,72,0.2,0.062129974365234375,1.0586793422698975,0.0002376598700948307,0.17533866318464789,234.86,0.04200857877731323,-0.10792448371648788,0.0003,0.005943659,-10.318551309406757,-0.00405907876938727
15403,187,2883584,11,80,0.2,0.046446800231933594,1.0692638158798218,0.0008942646600189619,0.361354846844315,206.75,0.09157401323318481,-0.10780731588602066,0.0003,0.005614832,-10.377639964222908,-0.0022170854576870624
15271,205,3145728,12,88,0.2,0.040869712829589844,1.078102946281433,0.0006372766765707638,0.3597097358151223,250.0,-0.007750988006591797,-0.10625676810741425,0.0003,0.0052979225,-10.437954999506474,-0.00222243907955999
