time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/value_loss,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/clip_range,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/loss,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate
1,16633,15,262144,,,,,,,,,,,,,
2,15895,32,524288,0.010227650363958674,-8.946670532226562,106.0,8,0.2,4.6235575675964355,0.06537532806396484,-9.982085593044758,-0.10377208143472672,0.006539089,1.009729266166687,-0.005093193799439177,0.0003
3,14553,54,786432,0.0010356842444707581,-0.4322725534439087,106.0,16,0.2,4.6235575675964355,0.04752635955810547,-10.034504771232605,-0.10406308621168137,0.0051776553,1.0162930488586426,-0.00316278556101679,0.0003
4,13467,77,1048576,0.00043396378009674663,-0.48667025566101074,250.0,24,0.2,0.047575224214524495,0.03396034240722656,-10.075341269373894,-0.1033710241317749,0.004290027,1.0219471454620361,-0.0024216664214691264,0.0003
5,13447,97,1310720,0.00025078773160203127,-2.456538200378418,245.73,32,0.2,0.04766839946067194,0.019142627716064453,-10.122538335621357,-0.10394097864627838,0.0032674572,1.029890537261963,-0.0013628474825964076,0.0003
6,13273,118,1572864,0.0001355162204390581,-1.4383749961853027,245.73,40,0.2,0.047775702140352226,0.026366710662841797,-10.164715111255646,-0.10448567569255829,0.0037025244,1.0353901386260986,-0.001920963802604092,0.0003
7,13027,140,1835008,0.00015935242447540077,-0.2632269859313965,242.13,48,0.2,0.10591403570171679,0.04201984405517578,-10.205645069479942,-0.1058356985449791,0.004856989,1.041332483291626,-0.0030392394796763256,0.0003
8,12838,163,2097152,0.0003295756370107483,-0.04255795478820801,250.0,56,0.2,0.06410848154162523,0.03907442092895508,-10.251803517341614,-0.10563136637210846,0.004650875,1.0489556789398193,-0.0021462659956341668,0.0003
9,12925,182,2359296,0.00015317836846406863,-0.5757309198379517,243.58,64,0.2,0.06006477319053374,0.03963327407836914,-10.286481879651546,-0.10675528645515442,0.0045044725,1.0529121160507202,-0.0033045429017874994,0.0003
10,12717,206,2621440,0.00017445844571284397,0.06677889823913574,222.82,72,0.2,0.11637742897786665,0.06023979187011719,-10.318335346877575,-0.10850580036640167,0.0057108053,1.0582058429718018,-0.004515831118624192,0.0003
11,12457,231,2883584,0.0006417796787445695,0.12397247552871704,171.04,80,0.2,0.4363729236589279,0.04559803009033203,-10.36331531405449,-0.10700967907905579,0.005709632,1.067138910293579,-0.0024786208732621162,0.0003
12,12276,256,3145728,0.0007208161746348196,-0.12724339962005615,246.26,88,0.2,0.41191795582300983,0.03474092483520508,-10.416478119790554,-0.1073119267821312,0.00429501,1.0748283863067627,-0.0018189118541158678,0.0003
13,12270,277,3407872,0.0005865075806923414,-0.11839032173156738,232.03,96,0.2,0.3779800378379878,0.03534746170043945,-10.465001866221428,-0.10797671228647232,0.004584374,1.0817041397094727,-0.0019001951159225428,0.0003
14,12075,303,3670016,0.00031372961166198365,0.020407140254974365,149.05,104,0.2,0.3685781767964363,0.05956315994262695,-10.48431921750307,-0.11028359830379486,0.005813742,1.0826289653778076,-0.0043560086646721174,0.0003
15,11916,329,3932160,0.0008418085226367111,0.021184563636779785,215.47,112,0.2,0.726321073025465,0.05048942565917969,-10.51167467981577,-0.10889045894145966,0.0058644265,1.0897024869918823,-0.003410703718145669,0.0003
16,11738,357,4194304,0.0026029561536233814,0.02851802110671997,206.34,120,0.2,0.5261518851295114,0.0626668930053711,-10.588327638804913,-0.10706797242164612,0.00651625,1.1045610904693604,-0.0016828620191517984,0.0003
17,11566,385,4456448,0.0005423779016382468,0.17197418212890625,106.91,128,0.2,0.39155124440789224,0.06671142578125,-10.652215145528316,-0.10963862389326096,0.006059451,1.110658884048462,-0.0036746251744261826,0.0003
18,11387,414,4718592,0.0009991454862756655,0.11433881521224976,198.97,136,0.2,0.7917293453216553,0.06045246124267578,-10.692624717950821,-0.10981572419404984,0.0063837916,1.1181443929672241,-0.0034013662498182384,0.0003
19,11272,441,4980736,0.0022610362657360383,0.13349759578704834,173.76,144,0.2,0.7300493856519461,0.057528018951416016,-10.749282017350197,-0.11009325087070465,0.0059773107,1.1279988288879395,-0.0020209360941407795,0.0003
20,11188,468,5242880,0.0011819251712950063,0.22171974182128906,144.34,152,0.2,0.7319602799491258,0.07506704330444336,-10.80060774832964,-0.1122763603925705,0.0068562073,1.1349786520004272,-0.0033819815253082197,0.0003
21,11107,495,5505024,0.0024809239575915853,0.21358901262283325,144.35,160,0.2,0.7587582536041737,0.08573389053344727,-10.854227662086487,-0.11093650758266449,0.0080424305,1.1451882123947144,-0.00236601320830232,0.0003
22,11049,521,5767168,0.00674185805110028,0.1319209337234497,186.18,168,0.2,0.9654942952096462,0.0638885498046875,-10.927413985133171,-0.10982983559370041,0.0066604596,1.1590805053710938,-0.0012241616032042657,0.0003
