time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/clip_range,train/std,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/explained_variance,rollout/ep_len_mean
262144,15,16929,1,,,,,,,,,,,,,
524288,32,16043,2,1.8440897464752197,0.2,1.009729266166687,-0.10377208143472672,0.006539089,-9.982085593044758,0.0003,0.06537532806396484,8,-0.005093193799439177,0.010227650363958674,-8.946670532226562,106.0
786432,50,15483,3,1.8440897464752197,0.2,1.0155510902404785,-0.10411617159843445,0.0051195957,-10.031758956611156,0.0003,0.04687643051147461,16,-0.003366834898770321,0.0008115189302770887,-0.554801344871521,106.0
1048576,69,15124,4,0.04739820221882837,0.2,1.0227940082550049,-0.10312779992818832,0.0042072535,-10.076719336211681,0.0003,0.033745765686035156,24,-0.002273189002607978,0.0005536083046990825,-0.5505161285400391,250.0
1310720,86,15155,5,0.04748847465940344,0.2,1.0316919088363647,-0.10403129458427429,0.0035666488,-10.132024712860584,0.0003,0.023480892181396484,32,-0.0015783144153829198,0.0002684873395537579,-2.1251368522644043,245.72
1572864,107,14626,6,0.05151938171104121,0.2,1.0383293628692627,-0.10336100310087204,0.0033673751,-10.183682285249233,0.0003,0.021132946014404297,40,-0.0015854060825404304,0.0001324407287484064,-1.2198970317840576,244.2
1835008,129,14175,7,0.05151938171104121,0.2,1.043951392173767,-0.10587499290704727,0.0047071483,-10.224632367491722,0.0003,0.04100751876831055,48,-0.0030686846585012972,0.00016286723996472574,-0.2279273271560669,244.2
2097152,152,13791,8,0.056607138157778535,0.2,1.0478663444519043,-0.10657656937837601,0.0044753198,-10.253795459866524,0.0003,0.03845024108886719,56,-0.0028832208708990947,0.0001473106025287052,-0.09329748153686523,250.0
2359296,171,13769,9,0.05124523816346482,0.2,1.0528327226638794,-0.10693658143281937,0.0044839634,-10.28425257652998,0.0003,0.03973388671875,64,-0.00322021561623842,0.00014059117359010997,-0.7024060487747192,245.87
2621440,194,13455,10,0.15915993394104588,0.2,1.056303858757019,-0.10796075314283371,0.005629338,-10.310153849422932,0.0003,0.06145477294921875,72,-0.0044034571510565,0.00018027314024493535,0.1388838291168213,227.07
2883584,219,13143,11,0.3169913983292645,0.2,1.0649240016937256,-0.10573623329401016,0.005237326,-10.353710979223251,0.0003,0.043767452239990234,80,-0.0023530052312707994,0.0006378329035214847,0.20217305421829224,201.64
3145728,243,12922,12,0.3997616276843473,0.2,1.073569655418396,-0.10729189962148666,0.0046185814,-10.409678965806961,0.0003,0.03565025329589844,88,-0.002047328360731626,0.0005724744855797326,-0.022781968116760254,249.69
3407872,264,12869,13,0.3981105025339639,0.2,1.080304503440857,-0.10730097442865372,0.004244405,-10.459485121071339,0.0003,0.035247802734375,96,-0.002064322022306442,0.00038747624307688966,-0.11908423900604248,229.25
