time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
1,21,12386,262144,,,,,,,,,,,,,
2,42,12385,524288,0.011533550070453202,0.06446027755737305,1.0079315900802612,-9.9746033847332,8,0.0063992743,-0.10381259024143219,-5.802430152893066,-0.005180748265956936,0.0003,0.2,,
3,64,12145,786432,0.0020865088918071706,0.041115760803222656,1.0149340629577637,-10.024320289492607,16,0.0047591785,-0.10391643643379211,-0.07101297378540039,-0.0031082730611160514,0.0003,0.2,,
4,89,11740,1048576,0.0010114949191120104,0.02618885040283203,1.0225872993469238,-10.074747130274773,24,0.0038398318,-0.10139564424753189,-0.11521327495574951,-0.001730789130760968,0.0003,0.2,250.0,0.04221436741689104
5,108,12094,1310720,0.0004396976651150908,0.017540454864501953,1.0327048301696777,-10.136871695518494,32,0.0032373476,-0.10422684252262115,-2.889275312423706,-0.0009915377868310316,0.0003,0.2,245.73,0.042307975896837886
6,130,12092,1572864,0.00021188550852002663,0.020981311798095703,1.0389915704727173,-10.188448242843151,40,0.0035180522,-0.10427814722061157,-1.3438949584960938,-0.0015918882804726309,0.0003,0.2,245.73,0.042307975896837886
7,151,12107,1835008,0.00019078694356267079,0.029006004333496094,1.046763300895691,-10.237944178283215,48,0.0038593304,-0.10492581129074097,-0.7589786052703857,-0.0020803709239771706,0.0003,0.2,245.73,0.042307975896837886
8,172,12137,2097152,0.00017363685356031056,0.026781082153320312,1.0521903038024902,-10.279751405119896,56,0.003886069,-0.1062706857919693,-0.6669555902481079,-0.002037009540345025,0.0003,0.2,250.0,0.044908008523598254
9,191,12298,2359296,0.0001647739525196812,0.02100658416748047,1.0601625442504883,-10.326754115521908,64,0.0035716873,-0.1061413511633873,-1.7662863731384277,-0.0016117354321067978,0.0003,0.2,243.59,0.04312544321521273
10,213,12300,2621440,0.00014358119540247571,0.042757511138916016,1.0658888816833496,-10.369807623326778,72,0.0047650393,-0.10733809322118759,-0.3465428352355957,-0.0033152356827486074,0.0003,0.2,235.44,0.05124133999339392
11,235,12235,2883584,0.0002808697943237348,0.046488285064697266,1.0712196826934814,-10.402657203376293,80,0.0051401616,-0.10658373683691025,0.2521980404853821,-0.0027426274200479384,0.0003,0.2,229.74,0.11440035427393014
12,258,12166,3145728,0.0003334808529871225,0.041640281677246094,1.0772557258605957,-10.43846831470728,88,0.004913667,-0.10835403203964233,0.31046783924102783,-0.0023651858864468522,0.0003,0.2,249.59,0.22100571270973887
13,278,12254,3407872,0.0002779350741093367,0.04538583755493164,1.0836386680603027,-10.482838571071625,96,0.0050316853,-0.10763640701770782,0.0007382035255432129,-0.003002611051670101,0.0003,0.2,242.54,0.24126997031911743
14,302,12141,3670016,0.00033769959577512054,0.05740928649902344,1.087533712387085,-10.51053735613823,104,0.0057764584,-0.11001813411712646,0.20859068632125854,-0.00380700724417693,0.0003,0.2,182.84,0.25849565869983054
15,327,11998,3932160,0.0007849065718801285,0.04838752746582031,1.096651315689087,-10.555148966610432,112,0.0053882655,-0.10967378318309784,0.1237139105796814,-0.00289342005544313,0.0003,0.2,203.25,0.5141241944581271
16,351,11949,4194304,0.0007255352488755307,0.036145687103271484,1.1024441719055176,-10.60072609782219,120,0.0045183357,-0.10914354771375656,-0.1703507900238037,-0.002192348129938182,0.0003,0.2,246.88,0.5135680734366178
17,373,11920,4456448,0.00040829535669217876,0.049544334411621094,1.110595941543579,-10.648592047393322,128,0.005500107,-0.10942944884300232,0.180222749710083,-0.002737537774919474,0.0003,0.2,170.73,0.4251426601759158
18,399,11810,4718592,0.0006047042090813193,0.06234025955200195,1.113600254058838,-10.673375517129898,136,0.0061910152,-0.11389142274856567,0.10520881414413452,-0.004409989491250599,0.0003,0.2,157.65,0.49594372779130935
19,424,11728,4980736,0.0010147914622393728,0.05209159851074219,1.1218526363372803,-10.714915312826633,144,0.0059843673,-0.10984157025814056,0.05596679449081421,-0.0025932710923370905,0.0003,0.2,213.35,0.7999831785261631
20,449,11664,5242880,0.0006716936245538818,0.06741523742675781,1.130073070526123,-10.767973646521568,152,0.006568188,-0.11223729699850082,0.30955517292022705,-0.0039071938263077755,0.0003,0.2,131.77,0.43405270371760707
21,474,11605,5505024,0.00125692175970471,0.07385683059692383,1.1365606784820557,-10.809906609356403,160,0.006896233,-0.11195075511932373,0.20854049921035767,-0.002565745857282309,0.0003,0.2,119.85,0.3922907166182995
22,500,11534,5767168,0.001619842011223227,0.052799224853515625,1.143691897392273,-10.850323148071766,168,0.005672516,-0.11229270696640015,0.12950295209884644,-0.002371285343542695,0.0003,0.2,186.11,0.8641008235263871
23,525,11477,6029312,0.0011086990411968145,0.06228160858154297,1.1502898931503296,-10.893744975328445,176,0.0060767946,-0.11188802868127823,0.1837654709815979,-0.003001521989062894,0.0003,0.2,146.05,0.6414373889565468
24,550,11424,6291456,0.002164247394375707,0.06603288650512695,1.1599448919296265,-10.94262708723545,184,0.007053734,-0.11078830808401108,0.15388888120651245,-0.0019353584261807555,0.0003,0.2,130.61,0.6225088194012642
25,576,11368,6553600,0.0010038611339950876,0.06316709518432617,1.1653695106506348,-10.984935119748116,192,0.006091153,-0.11337660253047943,0.3563156723976135,-0.002396175908870646,0.0003,0.2,160.97,0.8342578397691249
26,602,11316,6815744,0.0019880104719049996,0.055629730224609375,1.1734399795532227,-11.022913977503777,200,0.0048375176,-0.11235114187002182,0.348503053188324,-0.0007856824154259812,0.0003,0.2,156.45,0.8784578301012516
27,628,11261,7077888,0.002709161746679456,0.059912681579589844,1.1832630634307861,-11.07695658504963,208,0.0067380657,-0.11275801062583923,0.4338719844818115,-0.001359422547466238,0.0003,0.2,149.36,0.8337210731953383
28,654,11217,7340032,0.0016819452293930226,0.052412986755371094,1.1874356269836426,-11.112527817487717,216,0.005144515,-0.11378441751003265,0.28130173683166504,-0.0015576513883388543,0.0003,0.2,152.15,0.9353324821591378
29,680,11169,7602176,0.0012548991644507623,0.05832338333129883,1.190659999847412,-11.132931038737297,224,0.0056426805,-0.11177271604537964,0.2548407316207886,-0.0019775808659687755,0.0003,0.2,167.92,1.027968305721879
30,706,11133,7864320,0.0013892715905967634,0.05473518371582031,1.193284034729004,-11.14927862584591,232,0.0050895773,-0.11228186637163162,0.27213793992996216,-0.0017227180787813268,0.0003,0.2,149.14,0.9120298163592815
31,732,11092,8126464,0.0023632570319023216,0.06292295455932617,1.2008209228515625,-11.178381159901619,240,0.005700081,-0.1136685162782669,0.2357303500175476,-0.0012062628975400003,0.0003,0.2,154.63,1.0141383282095193
32,758,11063,8388608,0.0036317076828709105,0.06668615341186523,1.2103283405303955,-11.228469252586365,248,0.005697069,-0.11409424245357513,0.14101171493530273,-0.0009362391531340108,0.0003,0.2,132.2,0.8037375517189502
33,783,11035,8650752,0.002314481592293305,0.06456565856933594,1.2161457538604736,-11.267402559518814,256,0.006419532,-0.11401477456092834,0.30127787590026855,-0.0011127376401418587,0.0003,0.2,144.33,0.9608098244667054
34,810,11003,8912896,0.0030501749879476847,0.06212472915649414,1.226026177406311,-11.313075609505177,264,0.005899962,-0.11461891233921051,0.4077566862106323,-0.0010180360573031066,0.0003,0.2,134.34,0.9039882519096136
35,835,10977,9175040,0.0017949527600649162,0.05184316635131836,1.2313015460968018,-11.347712561488152,272,0.005673196,-0.1161465048789978,0.22742831707000732,-0.0013461124021887372,0.0003,0.2,135.35,0.8050163336843252
36,862,10943,9437184,0.0024823468447721098,0.06488037109375,1.2430801391601562,-11.400817260146141,280,0.0059830872,-0.10918451100587845,-0.12613976001739502,0.0013154047469470243,0.0003,0.2,136.88,0.9717391285982012
37,888,10920,9699328,0.0021293650825100485,0.059305667877197266,1.2504526376724243,-11.449858576059341,288,0.0055553196,-0.11530572921037674,0.0656481385231018,-2.4655971628817497e-05,0.0003,0.2,138.44,0.9369512996077538
38,914,10893,9961472,0.003221835729164013,0.06127214431762695,1.2584580183029175,-11.48879349976778,296,0.0050694263,-0.11808191984891891,0.22010982036590576,-0.0008416130572186376,0.0003,0.2,141.4,0.9014776853471994
39,940,10871,10223616,0.0018905953575085732,0.051573753356933594,1.2646244764328003,-11.527344062924385,304,0.0055200183,-0.11845861375331879,0.48492079973220825,-0.0011885991712006216,0.0003,0.2,125.47,0.8064767523109913
40,967,10836,10485760,0.0023932326648719027,0.059366703033447266,1.2747524976730347,-11.568570002913475,312,0.0065761367,-0.11503168940544128,0.29937875270843506,5.804866532344022e-05,0.0003,0.2,141.09,1.0042326718568801
41,994,10812,10747904,0.003016682039742591,0.06452035903930664,1.2818609476089478,-11.609583355486393,320,0.0064586205,-0.11655669659376144,0.22710227966308594,-0.0008613443969807122,0.0003,0.2,143.36,0.9391111761331559
42,1020,10791,11010048,0.0020793982557734125,0.06080484390258789,1.2893990278244019,-11.640675522387028,328,0.004963585,-0.11909835040569305,0.2617173194885254,-0.0007322524820665421,0.0003,0.2,129.74,0.9002048818767071
43,1046,10770,11272192,0.002599364655907266,0.05500030517578125,1.2973006963729858,-11.67810682952404,336,0.0051621664,-0.11938295513391495,0.19751739501953125,-0.0011551708234947,0.0003,0.2,138.59,0.8779416617006064
44,1072,10752,11534336,0.001999824375161552,0.05529212951660156,1.3022435903549194,-11.706328555941582,344,0.0053419047,-0.11970291286706924,0.3228722810745239,-0.0010572649125606404,0.0003,0.2,129.99,0.9220936244726181
45,1099,10729,11796480,0.002970256513435743,0.058254241943359375,1.3127403259277344,-11.748324699699879,352,0.0061111366,-0.11799626052379608,0.2739967107772827,-0.0010961538860101427,0.0003,0.2,122.54,0.768203211426735
46,1126,10708,12058624,0.002416997204818472,0.06554460525512695,1.3209441900253296,-11.792302958667278,360,0.0063641453,-0.1187794879078865,0.14993655681610107,0.0001245727771674865,0.0003,0.2,135.04,0.8074941737949848
47,1153,10683,12320768,0.002798611128127959,0.06170177459716797,1.331642746925354,-11.839254476130009,368,0.0053351205,-0.12000713497400284,0.31463557481765747,-0.0007292607069757651,0.0003,0.2,139.44,0.9916681069135665
48,1179,10664,12582912,0.00335215701488778,0.0692129135131836,1.3421567678451538,-11.892254963517189,376,0.0063809105,-0.12058645486831665,0.24242740869522095,-0.0006829467729403405,0.0003,0.2,140.71,0.9586078312247992
49,1206,10644,12845056,0.0023215718510982697,0.055932044982910156,1.3515446186065674,-11.937845446169376,384,0.0066262693,-0.12098589539527893,0.280784547328949,-0.000944710076055344,0.0003,0.2,152.74,1.0857969380542636
50,1233,10624,13107200,0.002273349283314019,0.06363534927368164,1.359553575515747,-11.976019099354744,392,0.005808879,-0.12078073620796204,0.35655564069747925,-0.0007457325536961434,0.0003,0.2,138.23,0.986264050155878
51,1260,10606,13369344,0.0022158115707497927,0.06655693054199219,1.3646447658538818,-11.999733664095402,400,0.0058743665,-0.12081427127122879,0.31152528524398804,-0.0006057209297978261,0.0003,0.2,131.95,0.9612135694175958
52,1287,10587,13631488,0.0035905822696804535,0.07152700424194336,1.374099850654602,-12.033755376935005,408,0.0061062905,-0.12083517760038376,0.23875606060028076,-0.00047642719414398016,0.0003,0.2,147.05,0.9576717769354581
53,1314,10572,13893632,0.0022050531160857645,0.05934953689575195,1.3807177543640137,-12.069340899586678,416,0.0060902415,-0.1214817687869072,0.31104564666748047,-0.0008242700714617968,0.0003,0.2,137.86,0.9811612100154161
54,1341,10554,14155776,0.0019357918590685586,0.056452274322509766,1.3847060203552246,-12.085119687020779,424,0.0054190895,-0.12211844325065613,0.3727797865867615,-0.0007525233040723833,0.0003,0.2,126.46,0.9444234775006771
55,1367,10540,14417920,0.0024543958224967355,0.06009054183959961,1.3916453123092651,-12.109890602529049,432,0.0054084836,-0.12229606509208679,0.30687159299850464,-0.0004560064626275562,0.0003,0.2,137.6,0.9849693940579891
56,1394,10526,14680064,0.0018309799943381222,0.06098508834838867,1.3992584943771362,-12.14158270508051,440,0.0056175343,-0.12005060911178589,0.3848382234573364,-0.0004166796752542723,0.0003,0.2,141.06,1.1279688034951687
57,1421,10514,14942208,0.00306914559314464,0.07011985778808594,1.4098209142684937,-12.177618019282818,448,0.005796714,-0.12310424447059631,0.30575811862945557,-0.0006853832019260153,0.0003,0.2,123.07,0.9025416769087314
58,1447,10500,15204352,0.0016409344107159995,0.05721330642700195,1.4144089221954346,-12.203715689480305,456,0.005726059,-0.12341626733541489,0.42800718545913696,-0.0008739672639421769,0.0003,0.2,112.98,0.7233820247650147
59,1474,10486,15466496,0.0025599864711693954,0.06878900527954102,1.4230496883392334,-12.233952105045319,464,0.0059959693,-0.12434396892786026,0.33109360933303833,-0.0006742842269886751,0.0003,0.2,142.16,1.0526670479029416
