time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/std,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
262144,12641,20,1,,,,,,,,,,,,,
524288,12483,41,2,0.0063992743,1.0079315900802612,-0.10381259024143219,0.2,-0.005180748265956936,8,0.011533550070453202,-9.9746033847332,0.0003,-5.802430152893066,0.06446027755737305,,
786432,12067,65,3,0.0047591785,1.0149340629577637,-0.10391643643379211,0.2,-0.0031082730611160514,16,0.0020865088918071706,-10.024320289492607,0.0003,-0.07101297378540039,0.041115760803222656,,
1048576,11811,88,4,0.003914756,1.0227044820785522,-0.10159250348806381,0.2,-0.0017847825965873199,24,0.0010266656645399053,-10.07543683797121,0.0003,-0.11688339710235596,0.02699899673461914,0.04232050685739523,250.0
1310720,12104,108,5,0.0035215649,1.0338488817214966,-0.10394791513681412,0.2,-0.001143361087088124,32,0.0004420322525220399,-10.142144188284874,0.0003,-2.8452208042144775,0.020689010620117188,0.04232050685739523,250.0
1572864,12060,130,6,0.0034725014,1.0414235591888428,-0.10336693376302719,0.2,-0.00133997210787129,40,0.00021423747375592939,-10.20280609279871,0.0003,-1.3114867210388184,0.01917886734008789,0.04232050685739523,250.0
1835008,12032,152,7,0.004378625,1.0482192039489746,-0.10471948981285095,0.2,-0.002566767661846825,48,0.00020580812781645363,-10.25044697523117,0.0003,-0.5983229875564575,0.03238821029663086,0.04924676097525662,249.36
2097152,11972,175,8,0.0040185237,1.0552806854248047,-0.10478373616933823,0.2,-0.0020772255775227677,56,0.00018745689385468722,-10.296214811503887,0.0003,-0.3488631248474121,0.028695106506347656,0.06635394978366094,250.0
2359296,12171,193,9,0.003936603,1.0625524520874023,-0.10590402781963348,0.2,-0.002214230586105259,64,0.0001804285691378027,-10.343836925923824,0.0003,-1.0651390552520752,0.027524948120117188,0.06635394978366094,250.0
2621440,12145,215,10,0.005153184,1.067427396774292,-0.11029576510190964,0.2,-0.003943978056668129,72,0.00017115524678956717,-10.38106982409954,0.0003,-0.09008371829986572,0.051514625549316406,0.1003251287250896,246.37
2883584,12020,239,11,0.0050327852,1.0748754739761353,-0.10708490014076233,0.2,-0.002295675484219828,80,0.00045115558305042214,-10.420246802270412,0.0003,0.2619134783744812,0.04633617401123047,0.16296934746467742,233.93
3145728,11965,262,12,0.004551206,1.0814555883407593,-0.1075936108827591,0.2,-0.0020612636467376433,88,0.0004336464830885234,-10.465133436024189,0.0003,0.25364232063293457,0.035175323486328125,0.3305760259793897,250.0
3407872,12066,282,13,0.004263698,1.0894848108291626,-0.10764539986848831,0.2,-0.002063046797957213,96,0.0005578613561283419,-10.51559479534626,0.0003,-0.08605575561523438,0.03514289855957031,0.3116788174062094,243.28
3670016,11913,308,14,0.006187567,1.0942331552505493,-0.11058235913515091,0.2,-0.004169588215518161,104,0.0003161122156143392,-10.551080264151096,0.0003,0.18818974494934082,0.05899381637573242,0.4221108493208885,135.12
3932160,11791,333,15,0.0049998946,1.1032472848892212,-0.10918333381414413,0.2,-0.002161383888505952,112,0.0014043455007595185,-10.596270732581615,0.0003,-0.03520500659942627,0.04068613052368164,0.47558429911732675,200.11
4194304,11725,357,16,0.0042191152,1.1122218370437622,-0.10947797447443008,0.2,-0.0013551031343013165,120,0.0006725004150212044,-10.65535343438387,0.0003,-0.23120582103729248,0.02806854248046875,0.4624245056509972,239.17
4456448,11705,380,17,0.0052247155,1.1190009117126465,-0.11004503816366196,0.2,-0.002236988909317006,128,0.0004777365832069336,-10.70414201170206,0.0003,0.024960994720458984,0.04676008224487305,0.4134542112518102,151.46
4718592,11616,406,18,0.0058535,1.1244415044784546,-0.11071054637432098,0.2,-0.003450989717748598,136,0.0006275175469454553,-10.73915409296751,0.0003,-0.004217624664306641,0.051126956939697266,0.5568238697946072,185.56
4980736,11535,431,19,0.0052838055,1.1354925632476807,-0.1094709187746048,0.2,-0.002113110134814633,144,0.0018978163534484338,-10.792837381362915,0.0003,-0.014164924621582031,0.047704219818115234,0.8091835305094719,208.85
5242880,11490,456,20,0.006492327,1.1445798873901367,-0.11357982456684113,0.2,-0.0030418845990425325,152,0.0010228414512312156,-10.85407829284668,0.0003,0.15984952449798584,0.06641530990600586,0.5980574952811003,133.79
5505024,11424,481,21,0.006885078,1.1530653238296509,-0.113041453063488,0.2,-0.003042742790057673,160,0.0011107615987384634,-10.908061653375626,0.0003,0.24214184284210205,0.0790243148803711,0.43107887253165245,126.78
5767168,11372,507,22,0.0057163434,1.1600983142852783,-0.11320807784795761,0.2,-0.0031065294597283355,168,0.001106270538912213,-10.954082064330578,0.0003,0.1595858335494995,0.05945110321044922,0.9625438233464956,205.77
6029312,11307,533,23,0.0057384595,1.165758728981018,-0.11211057752370834,0.2,-0.002362164256737742,176,0.0014519332335112267,-10.990677654743195,0.0003,0.21686512231826782,0.05803346633911133,0.8797078569233417,177.04
6291456,11265,558,24,0.005787627,1.1734042167663574,-0.11411194503307343,0.2,-0.002096254606385628,184,0.0019226522636017762,-11.030001193284988,0.0003,0.20849889516830444,0.06525993347167969,0.7726490435004234,151.94
6553600,11214,584,25,0.006560998,1.1807267665863037,-0.11304984986782074,0.2,-0.001820703694193071,192,0.0016625907219349756,-11.07465672492981,0.0003,0.3182499408721924,0.06611871719360352,0.9051876269280911,164.83
