time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
21,1,12290,262144,,,,,,,,,,,,,
42,2,12252,524288,0.0063992743,-0.10381259024143219,-9.9746033847332,0.011533550070453202,0.0003,-0.005180748265956936,-5.802430152893066,1.0079315900802612,8,0.2,0.06446027755737305,,
65,3,11965,786432,0.0047591785,-0.10391643643379211,-10.024320289492607,0.0020865088918071706,0.0003,-0.0031082730611160514,-0.07101297378540039,1.0149340629577637,16,0.2,0.041115760803222656,,
92,4,11375,1048576,0.003893275,-0.1015215739607811,-10.075032614171505,0.0010059898077088292,0.0003,-0.0017711086438794155,-0.11774587631225586,1.0226316452026367,24,0.2,0.026650428771972656,250.0,0.04229420606112399
113,5,11540,1310720,0.003486299,-0.10390276461839676,-10.14093890786171,0.0004414828451899666,0.0003,-0.001138021475981077,-2.860395669937134,1.0335824489593506,32,0.2,0.020373821258544922,250.0,0.04229420606112399
138,6,11365,1572864,0.0034605674,-0.10327987372875214,-10.201031811535358,0.0002141889766562599,0.0003,-0.0013158603001102165,-1.3082194328308105,1.0411124229431152,40,0.2,0.018853187561035156,248.78,0.04371549246898212
161,7,11383,1835008,0.004283637,-0.10439904034137726,-10.24694949388504,0.00020594230306869576,0.0003,-0.0024925907091528643,-0.6012164354324341,1.047680139541626,48,0.2,0.031835079193115234,248.78,0.04371549246898212
183,8,11398,2097152,0.0040925425,-0.10411663353443146,-10.288635641336441,0.0001856876431247656,0.0003,-0.0019681669491546927,-0.4024571180343628,1.0539486408233643,56,0.2,0.027400970458984375,250.0,0.06334771074383752
203,9,11615,2359296,0.0038107268,-0.10543934255838394,-10.332620538771152,0.00018047487219519098,0.0003,-0.0022006426884217944,-1.165285348892212,1.061064600944519,64,0.2,0.02797555923461914,250.0,0.06334771074383752
225,10,11610,2621440,0.005009736,-0.1095660999417305,-10.373603701591492,0.00015764323893563414,0.0003,-0.003554886075107788,-0.15096783638000488,1.0664162635803223,72,0.2,0.04886484146118164,240.75,0.07666064784658375
248,11,11582,2883584,0.0052834135,-0.10736953467130661,-10.417909532785416,0.00042586291374391294,0.0003,-0.0021143349486010266,0.23705005645751953,1.0743433237075806,80,0.2,0.045142173767089844,234.2,0.12431462495500455
272,12,11537,3145728,0.0045871967,-0.10745129734277725,-10.463046506047249,0.0003799063349561038,0.0003,-0.00207288318870269,0.23490023612976074,1.0809054374694824,88,0.2,0.03522443771362305,250.0,0.2950962905155029
293,13,11620,3407872,0.004708989,-0.10810895264148712,-10.502855621278286,0.000341207748533634,0.0003,-0.0024053264960457454,-0.13113701343536377,1.0867371559143066,96,0.2,0.03678274154663086,239.83,0.28355203713290394
318,14,11523,3670016,0.0057967496,-0.11013577878475189,-10.530923716723919,0.0002891901895054616,0.0003,-0.0040945513637780095,0.12136346101760864,1.090909481048584,104,0.2,0.05761003494262695,136.28,0.4108985425531864
344,15,11417,3932160,0.0053554247,-0.10886280238628387,-10.577227808535099,0.0009156657242783695,0.0003,-0.002630446236253192,-0.019434809684753418,1.1006189584732056,112,0.2,0.04395771026611328,202.67,0.4518764851242304
368,16,11378,4194304,0.0048635313,-0.10843919962644577,-10.63761132210493,0.0005651672959174903,0.0003,-0.0017893744493449049,-0.21554279327392578,1.1097244024276733,120,0.2,0.034127235412597656,229.44,0.5539731965772807
393,17,11323,4456448,0.0053843493,-0.1109752282500267,-10.68489208072424,0.0005467228161251114,0.0003,-0.002480564124198281,0.044857561588287354,1.1164569854736328,128,0.2,0.051038265228271484,125.1,0.37229208946228026
419,18,11248,4718592,0.0058845533,-0.11131308972835541,-10.712979570031166,0.0006011125369695947,0.0003,-0.004008760065516981,-0.019446253776550293,1.1203020811080933,136,0.2,0.05395317077636719,173.49,0.5666481018066406
444,19,11194,4980736,0.005510845,-0.11087058484554291,-10.767346017062664,0.0009908072415782954,0.0003,-0.0025209792902387562,0.004394650459289551,1.130581259727478,144,0.2,0.046097755432128906,206.89,0.730722712278366
469,20,11162,5242880,0.0061348276,-0.1113959401845932,-10.822532132267952,0.000894996127954073,0.0003,-0.003081945184931101,0.14917689561843872,1.1387879848480225,152,0.2,0.06232166290283203,138.85,0.5375264770921785
495,21,11103,5505024,0.006436307,-0.11093669384717941,-10.861904062330723,0.0005848043679179682,0.0003,-0.003286972801106458,0.2801936864852905,1.1445746421813965,160,0.2,0.06742668151855469,121.71,0.4439603058993816
521,22,11048,5767168,0.0052422397,-0.11071720719337463,-10.904804579913616,0.0018272335532856232,0.0003,-0.0017756538150024426,0.08478081226348877,1.1528809070587158,168,0.2,0.049990177154541016,192.39,0.8620517519791611
547,23,11008,6029312,0.0054886015,-0.11566624045372009,-10.951456315815449,0.0008113367430269136,0.0003,-0.0031379023239423987,0.25559180974960327,1.1597423553466797,176,0.2,0.05984687805175781,159.27,0.7945444571971894
573,24,10970,6291456,0.0061549167,-0.1132204532623291,-10.988467775285244,0.0010098035163537133,0.0003,-0.003020668737917731,0.20391178131103516,1.1664646863937378,184,0.2,0.05942487716674805,146.53,0.8123955242952797
599,25,10933,6553600,0.005769718,-0.1135052815079689,-11.03497089445591,0.0012444736939869472,0.0003,-0.002332995100005064,0.28308749198913574,1.1750028133392334,192,0.2,0.06180524826049805,167.63,0.9262397320847958
626,26,10882,6815744,0.0051326626,-0.11302920430898666,-11.069544464349747,0.0017205944959641783,0.0003,-0.0012908957801300858,0.20152342319488525,1.179847002029419,200,0.2,0.05667591094970703,156.17,0.8506990089267492
652,27,10851,7077888,0.0054500117,-0.11347867548465729,-11.09540830552578,0.001273908253551781,0.0003,-0.0017811267175602552,0.30907267332077026,1.184489130973816,208,0.2,0.06310558319091797,157.07,0.9640431940555573
678,28,10814,7340032,0.0056242677,-0.11271458119153976,-11.126638941466808,0.0019981192126579117,0.0003,-0.0012087428153790825,0.25207048654556274,1.1902954578399658,216,0.2,0.06048297882080078,144.57,0.8304818350821733
705,29,10781,7602176,0.0057450505,-0.11413111537694931,-11.150526121258736,0.0013233369450063037,0.0003,-0.0020461078520384035,0.3462856411933899,1.194373369216919,224,0.2,0.060185909271240234,150.7,0.9017566767334938
731,30,10750,7864320,0.0055916216,-0.11349909752607346,-11.191390678286552,0.001832761036894226,0.0003,-0.0011009888839907944,0.29390865564346313,1.2033745050430298,232,0.2,0.05877685546875,151.36,0.9387872806936503
758,31,10710,8126464,0.0061316183,-0.1140703484416008,-11.248522147536278,0.0026012026482931105,0.0003,-0.0009717516077216715,0.3619078993797302,1.2147506475448608,240,0.2,0.0677633285522461,145.94,0.9492769615352153
784,32,10687,8388608,0.006009835,-0.11461862176656723,-11.301767840981483,0.002509467319214309,0.0003,-0.0005195691087465093,0.2735022306442261,1.2233786582946777,248,0.2,0.06004190444946289,136.88,0.8484896891564131
