time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/std,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
23,11211,262144,1,,,,,,,,,,,,,
45,11581,524288,2,-0.10381259024143219,-0.005180748265956936,0.0063992743,0.06446027755737305,8,0.011533550070453202,0.0003,-9.9746033847332,0.2,1.0079315900802612,-5.802430152893066,,
68,11552,786432,3,-0.10391643643379211,-0.0031082730611160514,0.0047591785,0.041115760803222656,16,0.0020865088918071706,0.0003,-10.024320289492607,0.2,1.0149340629577637,-0.07101297378540039,,
91,11459,1048576,4,-0.1015215739607811,-0.0017711086438794155,0.003893275,0.026650428771972656,24,0.0010059898077088292,0.0003,-10.075032614171505,0.2,1.0226316452026367,-0.11774587631225586,250.0,0.04229420606112399
111,11780,1310720,5,-0.10390276461839676,-0.001138021475981077,0.003486299,0.020373821258544922,32,0.0004414828451899666,0.0003,-10.14093890786171,0.2,1.0335824489593506,-2.860395669937134,250.0,0.04229420606112399
133,11798,1572864,6,-0.10327987372875214,-0.0013158603001102165,0.0034605674,0.018853187561035156,40,0.0002141889766562599,0.0003,-10.201031811535358,0.2,1.0411124229431152,-1.3082194328308105,248.78,0.04371549246898212
154,11852,1835008,7,-0.10439904034137726,-0.0024925907091528643,0.004283637,0.031835079193115234,48,0.00020594230306869576,0.0003,-10.24694949388504,0.2,1.047680139541626,-0.6012164354324341,248.78,0.04371549246898212
177,11829,2097152,8,-0.10411663353443146,-0.0019681669491546927,0.0040925425,0.027400970458984375,56,0.0001856876431247656,0.0003,-10.288635641336441,0.2,1.0539486408233643,-0.4024571180343628,250.0,0.06334771074383752
195,12037,2359296,9,-0.10543934255838394,-0.0022006426884217944,0.0038107268,0.02797555923461914,64,0.00018047487219519098,0.0003,-10.332620538771152,0.2,1.061064600944519,-1.165285348892212,250.0,0.06334771074383752
217,12033,2621440,10,-0.1095660999417305,-0.003554886075107788,0.005009736,0.04886484146118164,72,0.00015764323893563414,0.0003,-10.373603701591492,0.2,1.0664162635803223,-0.15096783638000488,240.75,0.07666064784658375
241,11937,2883584,11,-0.10736953467130661,-0.0021143349486010266,0.0052834135,0.045142173767089844,80,0.00042586291374391294,0.0003,-10.417909532785416,0.2,1.0743433237075806,0.23705005645751953,234.2,0.12431462495500455
264,11877,3145728,12,-0.10745129734277725,-0.00207288318870269,0.0045871967,0.03522443771362305,88,0.0003799063349561038,0.0003,-10.463046506047249,0.2,1.0809054374694824,0.23490023612976074,250.0,0.2950962905155029
285,11955,3407872,13,-0.10810895264148712,-0.0024053264960457454,0.004708989,0.03678274154663086,96,0.000341207748533634,0.0003,-10.502855621278286,0.2,1.0867371559143066,-0.13113701343536377,239.83,0.28355203713290394
309,11840,3670016,14,-0.11013577878475189,-0.0040945513637780095,0.0057967496,0.05761003494262695,104,0.0002891901895054616,0.0003,-10.530923716723919,0.2,1.090909481048584,0.12136346101760864,136.28,0.4108985425531864
