time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/std,train/clip_range,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
20,12699,1,262144,,,,,,,,,,,,,
41,12498,2,524288,-5.802430152893066,8,-0.10381259024143219,-9.9746033847332,1.0079315900802612,0.2,0.06446027755737305,0.0003,0.011533550070453202,-0.005180748265956936,0.0063992743,,
65,12082,3,786432,-0.07101297378540039,16,-0.10391643643379211,-10.024320289492607,1.0149340629577637,0.2,0.041115760803222656,0.0003,0.0020865088918071706,-0.0031082730611160514,0.0047591785,,
88,11820,4,1048576,-0.11750733852386475,24,-0.1015043556690216,-10.074997432529926,1.0226240158081055,0.2,0.02649831771850586,0.0003,0.0010038228601843002,-0.0017629112362556043,0.0038764672,0.04229803757909394,250.0
107,12164,5,1310720,-2.857924699783325,32,-0.10383700579404831,-10.140676774084568,1.0334666967391968,0.2,0.02049875259399414,0.0003,0.000441983765540499,-0.001151593804024742,0.0035103038,0.04229803757909394,250.0
130,12081,6,1572864,-1.313063144683838,40,-0.10328497737646103,-10.199792131781578,1.0409693717956543,0.2,0.019056320190429688,0.0003,0.00021412233741102682,-0.0013330905890143185,0.0034733196,0.04376904132477648,248.8
151,12082,7,1835008,-0.5929548740386963,48,-0.10403017699718475,-10.244346559047699,1.047043800354004,0.2,0.0322718620300293,0.0003,0.00020757233073709358,-0.002547484102251474,0.0043942435,0.054497266064208814,246.05
174,12026,8,2097152,-0.3490121364593506,56,-0.10489850491285324,-10.28370974957943,1.053208351135254,0.2,0.02831554412841797,0.0003,0.00019975775956027064,-0.0020278741867514327,0.0041085277,0.06320014957615058,250.0
193,12189,9,2359296,-1.0987451076507568,64,-0.10570986568927765,-10.320192262530327,1.0584532022476196,0.2,0.02865314483642578,0.0003,0.00018043935403966316,-0.002373191889091686,0.00401307,0.0633253452005738,245.59
218,12012,10,2621440,-0.12297999858856201,72,-0.10716414451599121,-10.35148461908102,1.0628137588500977,0.2,0.046616554260253906,0.0003,0.0001639993060962297,-0.0035128411145706195,0.0049638916,0.08963064539115294,234.65
244,11798,11,2883584,0.2678309679031372,80,-0.10638601332902908,-10.383701287209988,1.0686849355697632,0.2,0.043076515197753906,0.0003,0.0003941362517707603,-0.0025170878043354605,0.005165581,0.1987147279489727,215.77
267,11752,12,3145728,0.20882058143615723,88,-0.10760500282049179,-10.435800574719906,1.0774747133255005,0.2,0.044171810150146484,0.0003,0.0004791885385202477,-0.0022918767281225882,0.0052200593,0.2525124122292982,250.0
287,11846,13,3407872,-0.15971028804779053,96,-0.10737662017345428,-10.47565657645464,1.0822621583938599,0.2,0.037813663482666016,0.0003,0.0004149944950313511,-0.0023141202345868805,0.0046484517,0.23116758387186565,236.53
312,11733,14,3670016,0.1197553277015686,104,-0.10888661444187164,-10.496919058263302,1.0853193998336792,0.2,0.0633096694946289,0.0003,0.00030843541617286974,-0.004432624402397778,0.006174351,0.34784733563661574,137.5
337,11634,15,3932160,-0.018874287605285645,112,-0.11032170802354813,-10.545036025345325,1.0952523946762085,0.2,0.04851341247558594,0.0003,0.0007503646279474196,-0.003086250506385113,0.0054095923,0.477120401263237,204.56
362,11584,16,4194304,0.04739391803741455,120,-0.10951893031597137,-10.60248389840126,1.1040129661560059,0.2,0.04307842254638672,0.0003,0.0005097421551454318,-0.0023352510052063735,0.0052073975,0.4720698185265064,234.71
385,11562,17,4456448,0.16927790641784668,128,-0.11001276224851608,-10.656812459230423,1.111966848373413,0.2,0.04851579666137695,0.0003,0.0004584547975809983,-0.0024402670278504957,0.005331268,0.4065007326490013,118.87
411,11467,18,4718592,0.017864108085632324,136,-0.111350417137146,-10.701495468616486,1.1193357706069946,0.2,0.05330801010131836,0.0003,0.0009578202207194408,-0.003061882695874374,0.006181877,0.6330561549961566,187.48
436,11408,19,4980736,0.07650965452194214,144,-0.10923325270414352,-10.750322431325912,1.1273784637451172,0.2,0.05057573318481445,0.0003,0.001043764345922682,-0.0025644650968388305,0.0053245025,0.6678330820053816,195.69
461,11362,20,5242880,0.24714213609695435,152,-0.1128094270825386,-10.79906179010868,1.1346944570541382,0.2,0.07301187515258789,0.0003,0.0006976342674533953,-0.003939261437153618,0.006794067,0.5587031430989736,130.32
487,11298,21,5505024,0.1646074652671814,160,-0.11472879350185394,-10.857402592897415,1.145344614982605,0.2,0.07282543182373047,0.0003,0.001197923078052554,-0.002826319257110299,0.0067267288,0.4900870528444648,140.1
512,11247,22,5767168,0.15260207653045654,168,-0.11216937750577927,-10.90168534219265,1.1517730951309204,0.2,0.06049776077270508,0.0003,0.0009979425453821023,-0.0030841787220197148,0.005918715,0.8898866745829582,184.92
538,11194,23,6029312,0.18369001150131226,176,-0.11294998228549957,-10.946407474577427,1.1593291759490967,0.2,0.05519580841064453,0.0003,0.0012957422914041672,-0.002320226446045126,0.0054899286,0.8834863132238389,166.42
563,11155,24,6291456,0.21491795778274536,184,-0.11256126314401627,-10.985559038817883,1.1659557819366455,0.2,0.06314468383789062,0.0003,0.001566031263791956,-0.0020330226134319673,0.006235593,0.8023822716018185,152.1
590,11104,25,6553600,0.31345808506011963,192,-0.11274824291467667,-11.018796987831593,1.1718575954437256,0.2,0.06713247299194336,0.0003,0.0014410930739359173,-0.002131311141056358,0.005911349,0.9245410263538361,161.55
616,11063,26,6815744,0.2421700358390808,200,-0.11192921549081802,-11.05573620647192,1.1788488626480103,0.2,0.06102752685546875,0.0003,0.001791621842130553,-0.001909744743443298,0.006056782,0.8425569503009319,145.76
642,11022,27,7077888,0.27123093605041504,208,-0.11179652810096741,-11.077496573328972,1.181168556213379,0.2,0.06087493896484375,0.0003,0.0015075139872351428,-0.0012960944591213774,0.005499124,0.8566415990144014,142.16
668,10983,28,7340032,0.26822948455810547,216,-0.11243751645088196,-11.100246660411358,1.186524748802185,0.2,0.05754995346069336,0.0003,0.0016679232840033364,-0.001446209248570085,0.0052647586,0.9044705986976623,146.0
694,10949,29,7602176,0.3515439033508301,224,-0.11268456280231476,-11.117956042289734,1.1889667510986328,0.2,0.061788082122802734,0.0003,0.001233887910075282,-0.0017665090981608955,0.0055565094,0.9528886398673058,158.03
