time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates,train/clip_fraction,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
262144,10921,1,24,,,,,,,,,,,,,
524288,11000,2,47,-0.005180748265956936,-0.10381259024143219,0.2,0.0063992743,1.0079315900802612,8,0.06446027755737305,0.0003,-5.802430152893066,0.011533550070453202,-9.9746033847332,,
786432,10814,3,72,-0.0031082730611160514,-0.10391643643379211,0.2,0.0047591785,1.0149340629577637,16,0.041115760803222656,0.0003,-0.07101297378540039,0.0020865088918071706,-10.024320289492607,,
1048576,10521,4,99,-0.00175435640176147,-0.1014602780342102,0.2,0.0038571665,1.0226126909255981,24,0.02641773223876953,0.0003,-0.11700260639190674,0.001004017395189294,-10.074866317212582,250.0,0.04243061454180861
1310720,10816,5,121,-0.0009871035172182019,-0.10413142293691635,0.2,0.0032748287,1.0329453945159912,32,0.017399311065673828,0.0003,-2.870673179626465,0.00044035862561031536,-10.138124912977219,243.45,0.04257768528681481
1572864,10827,6,145,-0.0013228751608949096,-0.10523150861263275,0.2,0.0032023627,1.0395163297653198,40,0.0172119140625,0.0003,-1.2862684726715088,0.00021246729147605947,-10.192273922264576,243.45,0.04257768528681481
1835008,10857,7,169,-0.0018278524939887575,-0.10398895293474197,0.2,0.003956874,1.045949935913086,48,0.025933265686035156,0.0003,-0.6796252727508545,0.0001947687458141445,-10.236932314932346,242.73,0.04833338022377575
2097152,10862,8,193,-0.0022639402955064725,-0.10582384467124939,0.2,0.0041556465,1.0516273975372314,56,0.03048992156982422,0.0003,-0.6253952980041504,0.000169653137959358,-10.276324987411499,250.0,0.04518785673455568
2359296,11011,9,214,-0.0017234286779057584,-0.10582579672336578,0.2,0.0036950663,1.058462381362915,64,0.021712779998779297,0.0003,-1.7607147693634033,0.00015929513324408617,-10.317609086632729,247.79,0.04420198658161098
2621440,11091,10,236,-0.00331396951150964,-0.10745040327310562,0.2,0.004931896,1.0648868083953857,72,0.04450654983520508,0.0003,-0.3295830488204956,0.00013964597667381895,-10.362471677362919,243.36,0.054372935876308474
2883584,11127,11,259,-0.0028601083058674703,-0.10729019343852997,0.2,0.0051044766,1.0716521739959717,80,0.04833412170410156,0.0003,0.2910173535346985,0.00026068462568673567,-10.404511459171772,234.62,0.05521054908051155
3145728,11179,12,281,-0.00218615596077143,-0.10646631568670273,0.2,0.0049039666,1.0783824920654297,88,0.0423130989074707,0.0003,0.35198062658309937,0.0004163838377735374,-10.445977732539177,250.0,0.1559676857329032
3407872,11311,13,301,-0.0029385897523752647,-0.10929854959249496,0.2,0.004869071,1.0850019454956055,96,0.042810916900634766,0.0003,0.09650218486785889,0.000258712104141523,-10.489086620509624,238.38,0.16606277902857983
3670016,11300,14,324,-0.0034807356760211405,-0.10930415987968445,0.2,0.00545218,1.0896542072296143,104,0.052016258239746094,0.0003,0.26554906368255615,0.0002594568887843707,-10.52341839671135,210.34,0.21513675551177586
3932160,11280,15,348,-0.0024839471529958246,-0.10900874435901642,0.2,0.0056854803,1.0956984758377075,112,0.05277585983276367,0.0003,0.24387121200561523,0.0006777885387236893,-10.555505268275738,188.16,0.3395959021872841
4194304,11267,16,372,-0.0033393172598152887,-0.11017612367868423,0.2,0.0057425573,1.100844383239746,120,0.053202152252197266,0.0003,0.06451475620269775,0.0005373318813326478,-10.59215746074915,250.0,0.4260450517758727
4456448,11322,17,393,-0.002281050034071086,-0.10800722241401672,0.2,0.005039552,1.106529712677002,128,0.03966379165649414,0.0003,0.02021777629852295,0.00047915878667481593,-10.625685036182404,225.97,0.40436063181608917
